Classifier,Preprocessing,Accuracy,Precision,Recall/TPR,FPR,FNR,TNR,F1-Score,ROC curve (area),Balanced Accuracy,Time Train
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 3, min_samples_leaf: 1, max_features: log2",Reshape,0.9670988084271388,0.17647058823529413,0.9962182981565174,0.8235294117647058,0.0037817018434825826,0.17647058823529413,0.2759189055546399,0.8013142069373852,0.8013142069373852,0.5919191837310791
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 3, min_samples_leaf: 2, max_features: sqrt",Reshape,0.9641030249923233,0.1823841787218458,0.9974387006090895,0.8176158212781541,0.0025612993909105105,0.1823841787218458,0.29358879882092853,0.8592452553016009,0.8592452553016009,2.0866622924804688
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 3, min_samples_leaf: 2, max_features: log2",Reshape,0.9591824507006389,0.1531607262945528,0.9967626378622436,0.8468392737054472,0.003237362137756422,0.1531607262945528,0.2505500550055006,0.824982119516906,0.824982119516906,0.6051204204559326
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 3, min_samples_leaf: 3, max_features: sqrt",Reshape,0.9597591390118408,0.16892886345053149,0.9977159631414533,0.8310711365494685,0.002284036858546693,0.16892886345053149,0.2777255007393467,0.8708844265357247,0.8708844265357247,2.034635543823242
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 3, min_samples_leaf: 3, max_features: log2",Reshape,0.9496633488365126,0.13089864587607714,0.9970921480072894,0.8691013541239229,0.0029078519927105617,0.13089864587607714,0.22165605095541402,0.8373725184287929,0.8373725184287928,0.6183443069458008
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 5, min_samples_leaf: 1, max_features: sqrt",Reshape,0.9624478546445877,0.1693548387096774,0.9970376970634902,0.8306451612903226,0.0029623029365097977,0.1693548387096774,0.2737543453070683,0.8393424567751776,0.8393424567751776,2.007920980453491
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 5, min_samples_leaf: 1, max_features: log2",Reshape,0.951296050808487,0.12047486442913674,0.9960378222229238,0.8795251355708632,0.003962177777076197,0.12047486442913674,0.2017920707008715,0.7877257739507916,0.7877257739507917,0.6159844398498535
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 5, min_samples_leaf: 2, max_features: sqrt",Reshape,0.9672935343504018,0.18518518518518517,0.9966663558373741,0.8148148148148148,0.003333644162625886,0.18518518518518517,0.2907260029235017,0.8230964987093441,0.8230964987093441,2.1154134273529053
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 5, min_samples_leaf: 2, max_features: log2",Reshape,0.9609799207615282,0.1536541889483066,0.9963881136102446,0.8463458110516934,0.0036118863897553768,0.1536541889483066,0.24862993942890108,0.807570653446871,0.807570653446871,0.5905141830444336
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 5, min_samples_leaf: 3, max_features: sqrt",Reshape,0.9674433235221426,0.197518511106664,0.9973779216333136,0.802481488893336,0.002622078366686378,0.197518511106664,0.31229235880398676,0.85756738027178,0.8575673802717801,2.024855852127075
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 5, min_samples_leaf: 3, max_features: log2",Reshape,0.9580066057024738,0.14290478572619644,0.9963379442301057,0.8570952142738035,0.0036620557698942946,0.14290478572619644,0.2341210217183445,0.8041998001609197,0.8041998001609197,0.6481592655181885
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 2, min_samples_leaf: 1, max_features: sqrt",Reshape,0.9699822499831487,0.22488724887248873,0.9982354267235684,0.7751127511275113,0.0017645732764316753,0.22488724887248873,0.35375685262818446,0.8999742973768868,0.899974297376887,2.730102062225342
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 2, min_samples_leaf: 1, max_features: log2",Reshape,0.9656533429198403,0.1772853185595568,0.9966684051157106,0.8227146814404432,0.0033315948842893507,0.1772853185595568,0.28096582000627157,0.8226420507140687,0.8226420507140686,0.7266542911529541
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 2, min_samples_leaf: 2, max_features: sqrt",Reshape,0.9708585166378323,0.2242749731471536,0.9978272003476479,0.7757250268528464,0.0021727996523520556,0.2242749731471536,0.3492222779729052,0.8806021714320111,0.8806021714320111,2.6606907844543457
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 2, min_samples_leaf: 2, max_features: log2",Reshape,0.9593846660824888,0.16734296380457717,0.9976994346733669,0.8326570361954229,0.002300565326633166,0.16734296380457717,0.2754843019372078,0.8699475922903397,0.8699475922903397,0.7449076175689697
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 2, min_samples_leaf: 3, max_features: sqrt",Reshape,0.9617438455374061,0.18550531914893617,0.9983686914238658,0.8144946808510638,0.0016313085761342693,0.18550531914893617,0.30408719346049046,0.9029172040162435,0.9029172040162435,2.6428704261779785
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 2, min_samples_leaf: 3, max_features: log2",Reshape,0.9581489054156275,0.15822378967617826,0.9973523565597919,0.8417762103238218,0.0026476434402080405,0.15822378967617826,0.26104205236709865,0.8528736277660499,0.85287362776605,0.7171967029571533
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 3, min_samples_leaf: 1, max_features: sqrt",Reshape,0.9688138944435707,0.21347861178369654,0.9979310076614942,0.7865213882163035,0.002068992338505814,0.21347861178369654,0.33694267515923565,0.8848036793116162,0.8848036793116161,2.6166234016418457
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 3, min_samples_leaf: 1, max_features: log2",Reshape,0.9685143161000891,0.20431211498973306,0.9974426937995041,0.795687885010267,0.0025573062004959155,0.20431211498973306,0.32127865676461087,0.8610991299101882,0.8610991299101882,0.7149546146392822
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 3, min_samples_leaf: 2, max_features: sqrt",Reshape,0.9655260221238606,0.1962201222901612,0.997931691174175,0.8037798777098388,0.0020683088258249822,0.1962201222901612,0.3151316768338045,0.8835171398165335,0.8835171398165336,2.6040592193603516
